number,name,author,copyright,copydate,lyrics
2,Amazing Grace,"Frank Garlock, John Newton",Majesty,1991,"Verse 1:
Amazing grace, how sweet the sound
That saved a wretch like me
I once was lost, but now am found
Was blind, but now I see

Verse 2:
'Twas grace that taught my heart to fear
And grace my fears relieved
How precious did that grace appear
The hour I first believed

Verse 3:
Through many dangers, toils, and snares
I have already come
'Tis grace that brought me safe thus far
And grace will lead me home

Verse 4:
When we've been there ten thousand years
Bright shining as the sun
We've no less days to sing God's praise
Than when we first began

Verse 5:
Hallelujah, hallelujah, hallelujah
Praise God
Hallelujah, hallelujah, hallelujah
Praise God"
3,Arise,John Barnett,Mercy/Vineyard,1995,"Intro:
For You are good, Your love endures forever
And we rejoice in Your unfailing love
Consume our praise with fire down from heaven
And fill us with Your power from above
And arise, arise, arise oh Lord, our God, arise

Verse 1:
Arise, oh Lord, within our midst
As we declare Your righteousness
Lift up the name that we confess
As we proclaim Your holiness

Chorus:
Arise, arise, arise
Oh Lord, our God, arise

Verse 2:
Salvation comes from You alone,
Oh Lamb of God, the Chosen One
That we might be Your resting place,
We worship You, we seek Your face"
4,Arms Of Love,Craig Musseau,Mercy/Vineyard,1991,"Verse 1:
I sing a simple song of love
To my Savior, to my Jesus
I'm grateful for the things You've done
My loving Savior, oh precious Jesus

Bridge:
My heart is glad
That You've called me Your own
There's no place I'd rather be

Chorus:
Than in Your arms of love
In Your arms of love
Holding me still, holding me near
In Your arms of love"
5,"As We Seek, Jesus Draw Me Close",Dave Bilbrough,Thankyou,1990,"Verse 1:
As we seek Your face
May we know Your heart
Feel Your presence, acceptance
As we seek Your face

Verse 2:
At Your feet we fall
Sovereign Lord
We cry holy, holy
At Your feet we fall

Verse 3:
Jesus draw me close
Closer Lord to You
Let the world around me fade away
Jesus draw me close
Closer Lord to You
For I desire to worship
And obey"
6,Be Glorified,"Chris Tomlin, Jesse Reeves, Louie Giglio",worshiptogether.com,1999,"Verse:
Your love has captured me
Your grace has set me free
Your life, the air I breathe
Be glorified in me

Chorus:
You set my feet to dancing
You set my heart on fire
In the presence of a thousand kings
You are my one desire
And I stand before You now
With trembling hands lifted high
Be glorified

Bridge:
Be glorified in me, be glorified in me
Be glorified in me, be glorified
Be glorified in me, be glorified in me
Be glorified in me, be glorified"
7,Be Thou My Vision,"Eleanor Hull, Mary Elizabeth Byrne",Public Domain,,"Verse 1:
Be Thou my vision, O Lord of my heart
Naught be all else to me, save that Thou art
Thou my best thought, by day or by night
Waking or sleeping, Thy presence my light

Verse 2:
Be Thou my wisdom, and Thou my true word
I ever with Thee and Thou with me, Lord
Thou my great Father, I Thy true son
Thou in me dwelling, and I with Thee one

Verse 3:
Riches I heed not, or man's empty praise
Thou mine inheritance, now and always
Thou and Thou only, first in my heart
High King of heaven, my treasure Thou art

Verse 4:
High King of heaven, my victory won
May I reach heaven's joys, O bright heaven's Sun
Heart of my own heart, whatever befall
Still be my vision, O Ruler of all"
8,Be To Our God,"Adrian Howard, Pat Turner",Restoration,1985,"Verse 1:
Salvation belongs to our God
Who sits upon the throne
And unto the Lamb
Praise and glory
Wisdom and thanks
Honor and power and strength

Chorus:
Be to our God, forever and ever,
Be to our God, forever and ever,
Be to our God, forever and ever,
Amen

Verse 2:
We the redeemed shall be strong
In purpose and unity
Declaring aloud
Praise and glory
Wisdom and thanks
Honor and power and strength"
9,Better Is One Day,Matt Redman,Kingsway's Thankyou,1995,"Verse 1:
How lovely is Your dwelling place, oh Lord Almighty
My soul longs and even faints for You
For here my heart is satisfied, within Your presence
I sing beneath the shadow of Your wings

Chorus:
Better is one day in Your courts
Better is one day in Your house
Better is one day in Your courts
Than thousands elsewhere
Better is one day in Your courts
Better is one day in Your house
Better is one day in Your courts
Than thousands elsewhere

Verse 2:
One thing I ask and I would seek, to see Your beauty
To find You in the place Your glory dwells

Bridge:
My heart and flesh cry out, for You the living God
Your spirit's water for my soul
I've tasted and I've seen, come once again to me
I will draw near to You, I will draw near to You"
10,Better Than,Casey Corum,Mercy/Vineyard,1996,"Verse 1:
Your love is better than all things
Your love is better than all things
And I don't have the strength of words
To tell You truly how I feel

Verse 2:
Your love is better than life
Your love is better than life
And I don't have the strength of words
To tell You truly how I feel

Chorus:
My God, You are the only One
For me, the only One for me
My God, Your love is better than all over loves
And now You're drawing me
And I just want to be closer to You

Bridge:
Wanna get closer, gotta get closer to You
Wanna get closer, gotta get closer to You
Wanna get closer, gotta get closer to You
Wanna get closer, gotta get closer to You"
11,Blessed Be Your Name,"Matt Redman, Beth Redman",Kingsway's Thankyou,2002,"Verse 1:
Blessed be Your name
In the land that is plentiful
Where Your streams of abundance flow
Blessed be Your name

Verse 1 (part 2):
And blessed be Your name
When I'm found in the desert place
Though I walk through the wilderness
Blessed be Your name

Pre-Chorus:
Every blessing You pour out
I'll turn back to praise
And when the darkness closes in, Lord
Still I will say

Chorus:
Blessed be the name of the Lord
Blessed be Your name
Blessed be the name of the Lord
Blessed be Your glorious name

Verse 2:
Blessed be Your name
When the sun's shining down on me
When the world's 'all as it should be'
Blessed be Your name

Verse 2 (part 2):
And blessed be Your name
On the road marked with suffering
Though there's pain in the offering
Blessed be Your name

Bridge:
You give and take away
You give and take away
My heart will choose to say
Lord, blessed be Your name"
